iteration,numProc,time,id
1,1,15078742,0
1,1,15166310,0
1,1,14862993,0
1,1,15011701,0
1,1,15028014,0
1,1,15154224,0
1,1,15183449,0
1,1,15007518,0
1,1,14806154,0
1,1,15024656,0
2,1,14881817,0
2,1,14814142,0
2,1,14817195,0
2,1,14834613,0
2,1,15416544,0
2,1,14744583,0
2,1,14829945,0
2,1,15341063,0
2,1,15488622,0
2,1,14788782,0
3,1,15178365,0
3,1,15368958,0
3,1,15540826,0
3,1,15037574,0
3,1,15024263,0
3,1,15368757,0
3,1,14997583,0
3,1,15141608,0
3,1,14764918,0
3,1,15146558,0
1,2,7792877,1
1,2,7954673,0
1,2,7439225,1
1,2,7461038,0
1,2,7660939,1
1,2,7700826,0
1,2,7502890,1
1,2,7641622,0
1,2,7578074,1
1,2,7667531,0
1,2,7630501,1
1,2,7743059,0
1,2,7472044,1
1,2,7535556,0
1,2,7521917,1
1,2,7617458,0
1,2,7588525,1
1,2,7622903,0
1,2,7618702,1
1,2,7683973,0
2,2,7135183,1
2,2,7208958,0
2,2,7277898,0
2,2,7307074,1
2,2,7124034,1
2,2,7170576,0
2,2,7034391,1
2,2,7086831,0
2,2,7061937,1
2,2,7116771,0
2,2,7149878,1
2,2,7211976,0
2,2,7233600,1
2,2,7243840,0
2,2,7008895,1
2,2,7069707,0
2,2,7053539,1
2,2,7081950,0
2,2,6984413,1
2,2,7011507,0
3,2,7000677,1
3,2,7060110,0
3,2,6985158,0
3,2,6994539,1
3,2,6973278,1
3,2,7006459,0
3,2,6922130,1
3,2,7035277,0
3,2,6974603,1
3,2,7014145,0
3,2,6911269,1
3,2,6964068,0
3,2,6923403,1
3,2,6976703,0
3,2,6924493,1
3,2,7002235,0
3,2,7024428,1
3,2,7075232,0
3,2,6920078,1
3,2,6980550,0
1,4,3392283,0
1,4,3411019,3
1,4,3419070,1
1,4,3422322,2
1,4,3389495,0
1,4,3405513,3
1,4,3425279,1
1,4,3435029,2
1,4,3381725,0
1,4,3401224,3
1,4,3426067,2
1,4,3500311,1
1,4,3375389,3
1,4,3390473,0
1,4,3406152,2
1,4,3446145,1
1,4,3379767,0
1,4,3397976,3
1,4,3428293,2
1,4,3533965,1
1,4,3379845,0
1,4,3388348,3
1,4,3402259,2
1,4,3549996,1
1,4,3396185,0
1,4,3407971,3
1,4,3424315,2
1,4,3455411,1
1,4,3567512,3
1,4,3593274,1
1,4,3668363,0
1,4,3694744,2
1,4,3379042,1
1,4,3379769,3
1,4,3406845,0
1,4,3437973,2
1,4,3381682,0
1,4,3388274,3
1,4,3401814,2
1,4,3402799,1
2,4,3386885,3
2,4,3394610,1
2,4,3408655,0
2,4,3440105,2
2,4,3389236,3
2,4,3392573,1
2,4,3401166,0
2,4,3538870,2
2,4,3769220,3
2,4,3779324,1
2,4,3928656,0
2,4,4358049,2
2,4,3707262,0
2,4,3730511,3
2,4,3808391,1
2,4,3923750,2
2,4,3435526,3
2,4,3485119,2
2,4,3506474,0
2,4,3548571,1
2,4,3403063,0
2,4,3403692,3
2,4,3403669,2
2,4,3414570,1
2,4,3401777,3
2,4,3407249,0
2,4,3430171,2
2,4,3466916,1
2,4,3386985,0
2,4,3422898,2
2,4,3433129,3
2,4,3490385,1
2,4,3380913,0
2,4,3410515,3
2,4,3414129,2
2,4,3581461,1
2,4,3386406,0
2,4,3417454,3
2,4,3431107,2
2,4,3533795,1
3,4,3386292,0
3,4,3405537,3
3,4,3428633,1
3,4,3439042,2
3,4,3399050,0
3,4,3406050,1
3,4,3406555,3
3,4,3437217,2
3,4,3393295,3
3,4,3416384,1
3,4,3418345,0
3,4,3466436,2
3,4,3711487,3
3,4,3993593,1
3,4,4045221,2
3,4,4067410,0
3,4,3329778,3
3,4,3350814,1
3,4,3426835,0
3,4,3481980,2
3,4,3392159,3
3,4,3433539,0
3,4,3466747,1
3,4,3530664,2
3,4,3483485,3
3,4,3589791,0
3,4,3649178,1
3,4,3816099,2
3,4,3745508,0
3,4,3925840,1
3,4,4080271,2
3,4,4106271,3
3,4,3338228,1
3,4,3340726,3
3,4,3433688,0
3,4,3486535,2
3,4,3369700,3
3,4,3385352,1
3,4,3445029,0
3,4,3457467,2
1,8,2055708,7
1,8,2062031,0
1,8,2074521,5
1,8,2213202,6
1,8,2279569,4
1,8,2385462,3
1,8,2431130,2
1,8,2517532,1
1,8,1496571,7
1,8,1499385,0
1,8,1512349,6
1,8,1531805,5
1,8,1642391,4
1,8,1693801,2
1,8,1729227,3
1,8,1755324,1
1,8,1473690,6
1,8,1476527,5
1,8,1480291,0
1,8,1498628,7
1,8,1614789,4
1,8,1669181,2
1,8,1674053,3
1,8,1751275,1
1,8,1480005,5
1,8,1487634,6
1,8,1489780,0
1,8,1492542,7
1,8,1624632,4
1,8,1673428,3
1,8,1677835,2
1,8,1746320,1
1,8,1576886,5
1,8,1586453,7
1,8,1591443,6
1,8,1626067,0
1,8,1803357,4
1,8,1857987,3
1,8,1910638,2
1,8,1966718,1
1,8,1828430,5
1,8,1952588,7
1,8,2101520,3
1,8,2107851,0
1,8,2109150,6
1,8,2232956,1
1,8,2236794,4
1,8,2279867,2
1,8,1444556,5
1,8,1466132,7
1,8,1506197,6
1,8,1513794,0
1,8,1640395,3
1,8,1643280,4
1,8,1697849,2
1,8,1715304,1
1,8,1469866,5
1,8,1473444,0
1,8,1474268,6
1,8,1485505,7
1,8,1613640,4
1,8,1664245,3
1,8,1673738,2
1,8,1742267,1
1,8,1467514,5
1,8,1477298,0
1,8,1486700,6
1,8,1490415,7
1,8,1616205,4
1,8,1655134,3
1,8,1667518,2
1,8,1723350,1
1,8,1440416,5
1,8,1478570,7
1,8,1485304,0
1,8,1486187,6
1,8,1611805,4
1,8,1638717,3
1,8,1675927,2
1,8,1707665,1
2,8,1465400,6
2,8,1485699,0
2,8,1488008,7
2,8,1525394,5
2,8,1613077,4
2,8,1672931,3
2,8,1716320,1
