iteration, processorCount, time
1,1,157917253
2,1,157778470
3,1,160065051
1,2,83804140
1,2,83804140
2,2,78039615
2,2,78039612
3,2,76425233
3,2,76425229
1,4,40031055
1,4,40027230
1,4,40023019
1,4,40023020
2,4,41775670
2,4,41767959
2,4,41767959
2,4,41772328
3,4,41801433
3,4,41809840
3,4,41806069
3,4,41801433
1,8,25568121
1,8,25574191
1,8,25578229
1,8,25565795
1,8,25576590
1,8,25565788
1,8,25572559
1,8,25569777
2,8,24492635
2,8,24499131
2,8,24500799
2,8,24496647
2,8,24503272
2,8,24495069
2,8,24504912
2,8,24492643
3,8,23396034
3,8,23398579
3,8,23406445
3,8,23404774
3,8,23393848
3,8,23402570
3,8,23400896
3,8,23393851
1,16,19461017
1,16,19456887
1,16,19458948
1,16,19451530
1,16,19457755
1,16,19454789
1,16,19447390
1,16,19453595
1,16,19452718
1,16,19448599
1,16,19449466
1,16,19455640
1,16,19447376
1,16,19450655
1,16,19459807
1,16,19461892
2,16,19618703
2,16,19606837
2,16,19610145
2,16,19614360
2,16,19612224
2,16,19620852
2,16,19615583
2,16,19613494
2,16,19605633
2,16,19608092
2,16,19605637
2,16,19617764
2,16,19619954
2,16,19609279
2,16,19616527
2,16,19611354
3,16,19684995
3,16,19677571
3,16,19689084
3,16,19677568
3,16,19683803
3,16,19680837
3,16,19691149
3,16,19689939
3,16,19685853
3,16,19682941
3,16,19681712
3,16,19687045
3,16,19679666
3,16,19692038
3,16,19678810
3,16,19687910
1,32,33629774
1,32,33622782
1,32,33630521
1,32,33650874
1,32,33625111
1,32,33633761
1,32,33626916
1,32,33628264
1,32,33627486
1,32,33622186
1,32,33632975
1,32,33650284
1,32,33632397
1,32,33653721
1,32,33625945
1,32,33651702
1,32,33620252
1,32,33644863
1,32,33631849
1,32,33648821
1,32,33620787
1,32,33652272
1,32,33624090
1,32,33621420
1,32,33629025
1,32,33634510
1,32,33648108
1,32,33623351
1,32,33631326
1,32,33649525
1,32,33652870
1,32,33620282
2,32,33246954
2,32,33226629
2,32,33248879
2,32,33234454
2,32,33231237
2,32,33223170
2,32,33225295
2,32,33230434
2,32,33232469
2,32,33244073
2,32,33233868
2,32,33250399
2,32,33246189
2,32,33227989
2,32,33227221
2,32,33251289
2,32,33248272
2,32,33245430
2,32,33228878
2,32,33223747
2,32,33235566
2,32,33243479
2,32,33229654
2,32,33233285
2,32,33231905
2,32,33249624
2,32,33223166
2,32,33224513
2,32,33244666
2,32,33225871
2,32,33235001
2,32,33247805
3,32,33536963
3,32,33544190
3,32,33542710
3,32,33538826
3,32,33554512
3,32,33537501
3,32,33541931
3,32,33541138
3,32,33547962
3,32,33550518
3,32,33552406
3,32,33543640
3,32,33551886
3,32,33549169
3,32,33537018
3,32,33555178
3,32,33544982
3,32,33549734
3,32,33540382
3,32,33557978
3,32,33551276
3,32,33546591
3,32,33556486
3,32,33547129
3,32,33553751
3,32,33570819
3,32,33538072
3,32,33552987
3,32,33557141
3,32,33545756
3,32,33548511
3,32,33559014
