iteration,processorCount,time
1,1,963535161
2,1,958566975
3,1,958253220
1,2,493819269
1,2,493819270
2,2,504000388
2,2,504000384
3,2,505561769
3,2,505561766
1,4,260359905
1,4,260357090
1,4,260362667
1,4,260357089
2,4,255397719
2,4,255400680
2,4,255403520
2,4,255397725
3,4,256540507
3,4,256534960
3,4,256537830
3,4,256534964
1,8,141416852
1,8,141413892
1,8,141419713
1,8,141412455
1,8,141421137
1,8,141418274
1,8,141415367
1,8,141412453
2,8,140321832
2,8,140326187
2,8,140320317
2,8,140317359
2,8,140323241
2,8,140317361
2,8,140324784
2,8,140318899
3,8,142245160
3,8,142242158
3,8,142249616
3,8,142248095
3,8,142242157
3,8,142246670
3,8,142243682
3,8,142251016
1,16,81605698
1,16,81603848
1,16,81601889
1,16,81604784
1,16,81609433
1,16,81599893
1,16,81611479
1,16,81602822
1,16,81608459
1,16,81598054
1,16,81607543
1,16,81606635
1,16,81598984
1,16,81600837
1,16,81598059
1,16,81610529
2,16,89428679
2,16,89436028
2,16,89430180
2,16,89430992
2,16,89432437
2,16,89434541
2,16,89426824
2,16,89425983
2,16,89425165
2,16,89427852
2,16,89433095
2,16,89431626
2,16,89435383
2,16,89429519
2,16,89433927
2,16,89425169
3,16,89907370
3,16,89912749
3,16,89909754
3,16,89904356
3,16,89903527
3,16,89905871
3,16,89908881
3,16,89911156
3,16,89902659
3,16,89902655
3,16,89905030
3,16,89911992
3,16,89910429
3,16,89908048
3,16,89906727
3,16,89913406
1,32,80363080
1,32,80378489
1,32,80364819
1,32,80361326
1,32,80375438
1,32,80370701
1,32,80366633
1,32,80372997
1,32,80377200
1,32,80370118
1,32,80364269
1,32,80376003
1,32,80369515
1,32,80363673
1,32,80371314
1,32,80367789
1,32,80361920
1,32,80362507
1,32,80372371
1,32,80367251
1,32,80366074
1,32,80361324
1,32,80373547
1,32,80365387
1,32,80368908
1,32,80374154
1,32,80374720
1,32,80377898
1,32,80379109
1,32,80368366
1,32,80371846
1,32,80376590
2,32,79545669
2,32,79559381
2,32,79538552
2,32,79540618
2,32,79542668
2,32,79536390
2,32,79517498
2,32,79517965
2,32,79564480
2,32,79537482
2,32,79565482
2,32,79543637
2,32,79563453
2,32,79544650
2,32,79541636
2,32,79539625
2,32,79546226
2,32,79540198
2,32,79538081
2,32,79537019
2,32,79563007
2,32,79517538
2,32,79564080
2,32,79544258
2,32,79545237
2,32,79539225
2,32,79543223
2,32,79535961
2,32,79565035
2,32,79541199
2,32,79542223
2,32,79567834
3,32,79945154
3,32,79965894
3,32,79966941
3,32,79943096
3,32,79967987
3,32,79948593
3,32,79964834
3,32,79949633
3,32,79960770
3,32,79962816
3,32,79961797
3,32,79947295
3,32,79968973
3,32,79946189
3,32,79963803
3,32,79944101
3,32,79957400
3,32,79946203
3,32,79949626
3,32,79948360
3,32,79963824
3,32,79964835
3,32,79967993
3,32,79947255
3,32,79966948
3,32,79962811
3,32,79944112
3,32,79945102
3,32,79965903
3,32,79969019
3,32,79961798
3,32,79943649
