processorNum iteration numProc time
1 1 16 844883
2 1 16 861317
3 1 16 869409
4 1 16 977582
5 1 16 1002763
6 1 16 1013808
7 1 16 1015260
8 1 16 1027231
9 1 16 1036875
10 1 16 1043591
11 1 16 1077194
12 1 16 1145974
13 1 16 1199077
14 1 16 1290462
15 1 16 1308528
16 1 16 1649727
1 1 16 815444
2 1 16 871932
3 1 16 872137
4 1 16 1078151
5 1 16 1101569
6 1 16 1150068
7 1 16 1174979
8 1 16 1221600
9 1 16 1323637
10 1 16 1350823
11 1 16 1359332
12 1 16 1387433
13 1 16 1406897
14 1 16 1408540
15 1 16 1542368
16 1 16 1660768
1 1 16 1010502
2 1 16 1019540
3 1 16 1058601
4 1 16 1060006
5 1 16 1084668
6 1 16 1088014
7 1 16 1091989
8 1 16 1126650
9 1 16 1136917
10 1 16 1154904
11 1 16 1191586
12 1 16 1196248
13 1 16 1264405
14 1 16 1291845
15 1 16 1373474
16 1 16 1466496
1 1 16 1000348
2 1 16 1024788
3 1 16 1066325
4 1 16 1073821
5 1 16 1100819
6 1 16 1109359
7 1 16 1145284
8 1 16 1157088
9 1 16 1175312
10 1 16 1179163
11 1 16 1186341
12 1 16 1270136
13 1 16 1292512
14 1 16 1309338
15 1 16 1368257
16 1 16 1640092
1 1 16 988602
2 1 16 1010824
3 1 16 1047937
4 1 16 1078184
5 1 16 1097338
6 1 16 1108679
7 1 16 1135181
8 1 16 1149577
9 1 16 1153305
10 1 16 1168976
11 1 16 1180651
12 1 16 1228318
13 1 16 1255252
14 1 16 1291367
15 1 16 1374921
16 1 16 1390059
1 1 16 1047418
2 1 16 1076588
3 1 16 1095928
4 1 16 1099579
5 1 16 1117493
6 1 16 1136234
7 1 16 1137271
8 1 16 1179020
9 1 16 1203957
10 1 16 1206812
11 1 16 1219615
12 1 16 1247459
13 1 16 1293682
14 1 16 1353729
15 1 16 1482760
16 1 16 1499629
1 1 16 1011169
2 1 16 1040996
3 1 16 1049795
4 1 16 1092731
5 1 16 1118532
6 1 16 1132709
7 1 16 1135012
8 1 16 1145839
9 1 16 1162946
10 1 16 1165896
11 1 16 1168898
12 1 16 1199514
13 1 16 1220483
14 1 16 1241294
15 1 16 1264908
16 1 16 1355880
1 1 16 993162
2 1 16 1012320
3 1 16 1062039
4 1 16 1078434
5 1 16 1098678
6 1 16 1133823
7 1 16 1156980
8 1 16 1157586
9 1 16 1178193
10 1 16 1178271
11 1 16 1207756
12 1 16 1224125
13 1 16 1248501
14 1 16 1263789
15 1 16 1324825
16 1 16 1391374
1 1 16 987217
2 1 16 1005888
3 1 16 1065502
4 1 16 1078860
5 1 16 1094951
6 1 16 1095350
7 1 16 1096167
8 1 16 1100799
9 1 16 1141275
10 1 16 1148570
11 1 16 1155940
12 1 16 1211077
13 1 16 1227034
14 1 16 1349184
15 1 16 1473576
16 1 16 1512745
1 1 16 987951
2 1 16 1038365
3 1 16 1056220
4 1 16 1084807
5 1 16 1096884
6 1 16 1102143
7 1 16 1104828
8 1 16 1169243
9 1 16 1175235
10 1 16 1176288
11 1 16 1186944
12 1 16 1208674
13 1 16 1219626
14 1 16 1230341
15 1 16 1391870
16 1 16 1461345
1 2 16 786654
2 2 16 859010
3 2 16 863012
4 2 16 880649
5 2 16 896008
6 2 16 996390
7 2 16 1077453
8 2 16 1114974
9 2 16 1164699
10 2 16 1202769
11 2 16 1232333
12 2 16 1412079
13 2 16 1431238
14 2 16 1493139
15 2 16 1633210
16 2 16 1651824
1 2 16 978829
2 2 16 1060698
3 2 16 1063876
4 2 16 1099432
5 2 16 1117460
6 2 16 1146240
7 2 16 1151860
8 2 16 1184888
9 2 16 1185441
10 2 16 1198550
11 2 16 1202509
12 2 16 1228995
13 2 16 1241322
14 2 16 1262704
15 2 16 1335751
16 2 16 1360089
1 2 16 1041966
2 2 16 1060162
3 2 16 1074185
4 2 16 1074571
5 2 16 1123441
6 2 16 1136870
7 2 16 1139605
8 2 16 1141980
9 2 16 1144491
10 2 16 1144634
11 2 16 1205678
12 2 16 1215120
13 2 16 1227759
14 2 16 1228928
15 2 16 1248516
16 2 16 1391632
1 2 16 973612
2 2 16 996605
3 2 16 1000760
4 2 16 1032415
5 2 16 1118824
6 2 16 1145257
7 2 16 1154440
8 2 16 1160440
9 2 16 1164631
10 2 16 1169273
11 2 16 1181513
12 2 16 1197419
13 2 16 1208618
14 2 16 1210805
15 2 16 1348521
16 2 16 1367553
1 2 16 1011499
2 2 16 1034505
3 2 16 1086175
4 2 16 1094882
5 2 16 1103213
6 2 16 1116737
7 2 16 1125574
8 2 16 1128927
9 2 16 1155837
10 2 16 1160903
11 2 16 1184490
12 2 16 1221258
13 2 16 1269764
14 2 16 1276225
15 2 16 1282447
16 2 16 1378671
1 2 16 1012751
2 2 16 1031659
3 2 16 1035582
4 2 16 1122934
5 2 16 1129824
6 2 16 1132424
7 2 16 1142955
8 2 16 1143070
9 2 16 1207314
10 2 16 1222225
11 2 16 1240360
12 2 16 1281796
13 2 16 1322931
14 2 16 1331873
15 2 16 1352808
16 2 16 1411072
1 2 16 1007182
2 2 16 1052956
3 2 16 1066401
4 2 16 1103077
5 2 16 1119427
6 2 16 1132368
7 2 16 1142165
8 2 16 1148992
9 2 16 1190670
10 2 16 1202982
11 2 16 1207295
12 2 16 1222275
13 2 16 1272008
14 2 16 1297790
15 2 16 1366720
16 2 16 1389626
1 2 16 994458
2 2 16 1026006
3 2 16 1056379
4 2 16 1073146
5 2 16 1103218
6 2 16 1117291
7 2 16 1131536
8 2 16 1139407
9 2 16 1152722
10 2 16 1186685
11 2 16 1243595
12 2 16 1255491
13 2 16 1257572
14 2 16 1263578
15 2 16 1395516
16 2 16 1406542
1 2 16 1022426
2 2 16 1034603
3 2 16 1068828
4 2 16 1083829
5 2 16 1090971
6 2 16 1104572
7 2 16 1104973
8 2 16 1116854
9 2 16 1119138
10 2 16 1134295
11 2 16 1138655
12 2 16 1211839
13 2 16 1220121
14 2 16 1232859
15 2 16 1271476
16 2 16 1392009
1 2 16 1002325
2 2 16 1049101
3 2 16 1067713
4 2 16 1100674
5 2 16 1118853
6 2 16 1119657
7 2 16 1137900
8 2 16 1144090
9 2 16 1173702
10 2 16 1177996
11 2 16 1179865
12 2 16 1184743
13 2 16 1185574
14 2 16 1187531
15 2 16 1266255
16 2 16 1422011
1 3 16 808399
2 3 16 815390
3 3 16 860219
4 3 16 924211
5 3 16 938213
6 3 16 959191
7 3 16 974318
8 3 16 1058052
9 3 16 1080190
10 3 16 1099839
11 3 16 1168038
12 3 16 1204206
13 3 16 1242968
14 3 16 1340753
15 3 16 1455278
16 3 16 1610212
1 3 16 809675
2 3 16 923029
3 3 16 944230
4 3 16 1047067
5 3 16 1095117
6 3 16 1117799
7 3 16 1124194
8 3 16 1151757
9 3 16 1204692
10 3 16 1221147
11 3 16 1239214
12 3 16 1272477
13 3 16 1272555
14 3 16 1299543
15 3 16 1314776
16 3 16 1508333
1 3 16 993321
2 3 16 1041518
3 3 16 1065570
4 3 16 1077891
5 3 16 1106070
6 3 16 1119692
7 3 16 1128427
8 3 16 1137589
9 3 16 1144931
10 3 16 1162141
11 3 16 1195395
12 3 16 1218346
13 3 16 1222759
14 3 16 1389825
15 3 16 1526846
16 3 16 1615979
1 3 16 1008589
2 3 16 1021105
3 3 16 1046216
4 3 16 1077965
5 3 16 1138791
6 3 16 1141888
7 3 16 1142922
8 3 16 1146872
9 3 16 1149606
10 3 16 1157463
11 3 16 1165616
12 3 16 1198312
13 3 16 1248690
14 3 16 1269772
15 3 16 1273503
16 3 16 1376134
1 3 16 1000144
2 3 16 1009526
3 3 16 1044532
4 3 16 1116177
5 3 16 1132520
6 3 16 1153774
7 3 16 1160657
8 3 16 1162859
9 3 16 1171309
10 3 16 1173026
11 3 16 1188335
12 3 16 1205309
13 3 16 1213763
14 3 16 1290376
15 3 16 1292712
16 3 16 1308827
1 3 16 994161
2 3 16 1011077
3 3 16 1057718
4 3 16 1129088
5 3 16 1132971
6 3 16 1143190
7 3 16 1145814
8 3 16 1189435
9 3 16 1224297
10 3 16 1224427
11 3 16 1235752
12 3 16 1260079
13 3 16 1299227
14 3 16 1322882
15 3 16 1392169
16 3 16 1431492
1 3 16 979389
2 3 16 996428
3 3 16 1006627
4 3 16 1043865
5 3 16 1129795
6 3 16 1130269
7 3 16 1146968
8 3 16 1147050
9 3 16 1151911
10 3 16 1194604
11 3 16 1219273
12 3 16 1230727
13 3 16 1292424
14 3 16 1299355
15 3 16 1359934
16 3 16 1633103
1 3 16 959349
2 3 16 999357
3 3 16 1036335
4 3 16 1043239
5 3 16 1051186
6 3 16 1131836
7 3 16 1152355
8 3 16 1173679
9 3 16 1181952
10 3 16 1183683
11 3 16 1185293
12 3 16 1186926
13 3 16 1228843
14 3 16 1340389
15 3 16 1364921
16 3 16 1428193
1 3 16 1015442
2 3 16 1022533
3 3 16 1028022
4 3 16 1044560
5 3 16 1054693
6 3 16 1124582
7 3 16 1130111
8 3 16 1142294
9 3 16 1149891
10 3 16 1164873
11 3 16 1176536
12 3 16 1199208
13 3 16 1200361
14 3 16 1245716
15 3 16 1374692
16 3 16 1420093
1 3 16 1004912
2 3 16 1006855
3 3 16 1039710
4 3 16 1043082
5 3 16 1046739
6 3 16 1123079
7 3 16 1128585
8 3 16 1139531
9 3 16 1165585
10 3 16 1214145
11 3 16 1248459
12 3 16 1273069
13 3 16 1298911
14 3 16 1336923
15 3 16 1372324
16 3 16 1517561
1 1 32 680769
2 1 32 683563
3 1 32 691704
4 1 32 701670
5 1 32 702103
6 1 32 706813
7 1 32 724760
8 1 32 749024
9 1 32 753905
10 1 32 754049
11 1 32 781744
12 1 32 782049
13 1 32 786747
14 1 32 795691
15 1 32 797166
16 1 32 844897
17 1 32 847070
18 1 32 856116
19 1 32 902981
20 1 32 904207
21 1 32 917363
22 1 32 921526
23 1 32 924434
24 1 32 925384
25 1 32 976026
26 1 32 985433
27 1 32 1001687
28 1 32 1019795
29 1 32 1062821
30 1 32 1097658
31 1 32 1106989
32 1 32 1169113
1 1 32 885174
2 1 32 890177
3 1 32 890612
4 1 32 958139
5 1 32 960105
6 1 32 1002180
7 1 32 1007952
8 1 32 1012543
9 1 32 1014504
10 1 32 1036941
11 1 32 1043555
12 1 32 1054005
13 1 32 1055216
14 1 32 1059157
15 1 32 1062475
16 1 32 1070362
17 1 32 1078799
18 1 32 1079977
19 1 32 1103003
20 1 32 1106161
21 1 32 1107670
22 1 32 1127784
23 1 32 1130437
24 1 32 1131986
25 1 32 1143268
26 1 32 1158733
27 1 32 1197946
28 1 32 1232549
29 1 32 1245121
30 1 32 1248379
31 1 32 1307997
32 1 32 1444588
1 1 32 945309
2 1 32 993429
3 1 32 996269
4 1 32 998725
5 1 32 1007601
6 1 32 1020355
7 1 32 1022037
8 1 32 1037789
9 1 32 1039456
10 1 32 1047371
11 1 32 1048128
12 1 32 1057858
13 1 32 1065885
14 1 32 1074170
15 1 32 1078648
16 1 32 1086573
17 1 32 1089819
18 1 32 1091589
19 1 32 1112688
20 1 32 1118749
21 1 32 1119237
22 1 32 1120916
23 1 32 1129539
24 1 32 1131078
25 1 32 1133428
26 1 32 1137598
27 1 32 1140207
28 1 32 1140532
29 1 32 1150548
30 1 32 1163390
31 1 32 1172405
32 1 32 1331439
1 1 32 966740
2 1 32 977175
3 1 32 979886
4 1 32 1008758
5 1 32 1018516
6 1 32 1028869
7 1 32 1032976
8 1 32 1036898
9 1 32 1050128
10 1 32 1052298
11 1 32 1054982
12 1 32 1064116
13 1 32 1066367
14 1 32 1074008
15 1 32 1075734
16 1 32 1082866
17 1 32 1085937
18 1 32 1098996
19 1 32 1105408
20 1 32 1106893
21 1 32 1108643
22 1 32 1110086
23 1 32 1111419
24 1 32 1115700
25 1 32 1121884
26 1 32 1125635
27 1 32 1126779
28 1 32 1132245
29 1 32 1136076
30 1 32 1140582
31 1 32 1193831
32 1 32 1249212
1 1 32 982546
2 1 32 998844
3 1 32 995030
4 1 32 1004781
5 1 32 1005770
6 1 32 1007945
7 1 32 1021327
8 1 32 1031698
9 1 32 1035446
10 1 32 1048278
11 1 32 1053849
12 1 32 1050606
13 1 32 1071627
14 1 32 1077243
15 1 32 1083231
16 1 32 1082821
17 1 32 1095772
18 1 32 1088649
19 1 32 1104883
20 1 32 1105432
21 1 32 1109485
22 1 32 1117975
23 1 32 1123333
24 1 32 1124293
25 1 32 1125051
26 1 32 1140179
27 1 32 1140298
28 1 32 1156078
29 1 32 1156993
30 1 32 1164093
31 1 32 1162513
32 1 32 1208543
1 1 32 978512
2 1 32 994789
3 1 32 1006128
4 1 32 1029844
5 1 32 1031346
6 1 32 1035286
7 1 32 1042383
8 1 32 1044033
9 1 32 1045099
10 1 32 1049955
11 1 32 1058321
12 1 32 1066775
13 1 32 1068513
14 1 32 1073014
15 1 32 1076782
16 1 32 1091919
17 1 32 1093544
18 1 32 1094599
19 1 32 1095297
20 1 32 1101819
21 1 32 1105044
22 1 32 1106516
23 1 32 1123417
24 1 32 1125034
25 1 32 1132492
26 1 32 1134715
27 1 32 1136466
28 1 32 1138814
29 1 32 1140978
30 1 32 1160473
31 1 32 1168091
32 1 32 1170409
1 1 32 983840
2 1 32 990241
3 1 32 1000431
4 1 32 1008142
5 1 32 1014617
6 1 32 1024481
7 1 32 1036421
8 1 32 1037277
9 1 32 1047297
10 1 32 1055758
11 1 32 1058527
12 1 32 1058648
