iteration,numProc,time,id
1,16,5466183,15
1,16,5499982,13
1,16,5689104,5
1,16,5720675,1
1,16,5732057,9
1,16,5776470,11
1,16,5806859,7
1,16,5823773,3
1,16,5960307,10
1,16,6199248,6
1,16,6250768,12
1,16,6253979,0
1,16,6280161,14
1,16,6315466,4
1,16,6457750,2
1,16,6639061,8
1,16,5467754,5
1,16,5519225,1
1,16,5555918,13
1,16,5559738,7
1,16,5639220,6
1,16,5650351,14
1,16,5731313,9
1,16,5777567,15
1,16,5890130,10
1,16,5943441,11
1,16,5981780,3
1,16,6003379,0
1,16,6039136,8
1,16,6107958,4
1,16,6434383,2
1,16,6752976,12
1,16,5489481,5
1,16,5493707,13
1,16,5564784,1
1,16,5615986,9
1,16,5648892,3
1,16,5667320,15
1,16,5673022,7
1,16,5706750,11
1,16,5787394,4
1,16,5832902,14
1,16,5892280,0
1,16,6385545,6
1,16,6394842,10
1,16,6441511,8
1,16,6502304,2
1,16,6611128,12
1,16,5478527,13
1,16,5512586,15
1,16,5531692,5
1,16,5535917,7
1,16,5568868,11
1,16,5603511,3
1,16,5626073,9
1,16,5681551,1
1,16,5760238,2
1,16,5819414,0
1,16,5836498,12
1,16,5920228,10
1,16,6095514,14
1,16,6120816,6
1,16,6613874,8
1,16,6696299,4
1,16,5442493,13
1,16,5512067,1
1,16,5522745,15
1,16,5538137,11
1,16,5569688,5
1,16,5584160,9
1,16,5604104,3
1,16,5689449,7
1,16,5874106,4
1,16,5909078,2
1,16,6168882,10
1,16,6269922,0
1,16,6304900,14
1,16,6612417,8
1,16,6648170,6
1,16,6887935,12
1,16,5435693,13
1,16,5484093,15
1,16,5502651,5
1,16,5523954,7
1,16,5615689,1
1,16,5669743,9
1,16,5702910,11
1,16,5762275,3
1,16,6039551,4
1,16,6074493,8
1,16,6302881,10
1,16,6354513,6
1,16,6479517,12
1,16,6718849,0
1,16,6757746,14
1,16,6800928,2
1,16,5467939,1
1,16,5513247,15
1,16,5684962,11
1,16,5707720,9
1,16,5727166,8
1,16,5742637,5
1,16,5743778,7
1,16,5781986,10
1,16,5823193,0
1,16,5920902,13
1,16,5997751,3
1,16,6020720,4
1,16,6155159,2
1,16,6163911,6
1,16,6713843,14
1,16,6740894,12
1,16,5462157,5
1,16,5496468,15
1,16,5534180,1
1,16,5565618,13
1,16,5593655,7
1,16,5733536,3
1,16,5797528,9
1,16,5841655,4
1,16,5916471,11
1,16,5979504,2
1,16,6050739,10
1,16,6052291,6
1,16,6299776,0
1,16,6314262,8
1,16,6402882,14
1,16,6576099,12
1,16,5494934,13
1,16,5624431,15
1,16,5672994,1
1,16,5679190,5
1,16,5684745,7
1,16,5725002,3
1,16,5727352,9
1,16,5738073,11
1,16,5767924,10
1,16,6002682,2
1,16,6043179,0
1,16,6267841,12
1,16,6403089,8
1,16,6620494,14
1,16,6658797,4
1,16,6661716,6
1,16,5465932,15
1,16,5496887,5
1,16,5504387,1
1,16,5554195,11
1,16,5563582,3
1,16,5565796,7
1,16,5570020,9
1,16,5572368,13
1,16,6140915,4
1,16,6146436,2
1,16,6157036,14
1,16,6193952,8
1,16,6286554,12
1,16,6369809,10
1,16,6670924,0
1,16,6712343,6
1,16,5491973,15
1,16,5541219,9
1,16,5559004,13
1,16,5587102,5
1,16,5657664,11
1,16,5753215,10
1,16,5789204,1
1,16,5811603,7
1,16,5845546,4
1,16,5921828,3
1,16,5947534,2
1,16,6004581,14
1,16,6235238,12
1,16,6541933,0
1,16,6550726,6
1,16,6779461,8
1,16,5504354,11
1,16,5555913,5
1,16,5598349,3
1,16,5611929,1
1,16,5619301,13
