iteration, processorCount, time
1,16,32948791
1,16,32944518
1,16,32964849
1,16,32946957
1,16,32960740
1,16,32951173
1,16,32955164
1,16,32956803
1,16,32963112
1,16,32942820
1,16,32967420
1,16,32969930
1,16,32940545
1,16,32952817
1,16,32959087
1,16,32940545
2,16,30450674
2,16,30478700
2,16,30470684
2,16,30465202
2,16,30474652
2,16,30477091
2,16,30458087
2,16,30461439
2,16,30473018
2,16,30452769
2,16,30456406
2,16,30468953
2,16,30466884
2,16,30454444
2,16,30450676
2,16,30463154
3,16,32390411
3,16,32388167
3,16,32392135
3,16,32378572
3,16,32376259
3,16,32384293
3,16,32403900
3,16,32380343
3,16,32402257
3,16,32399956
3,16,32382615
3,16,32394393
3,16,32376261
3,16,32396029
3,16,32398305
3,16,32386543
1,8,37211266
1,8,37199141
1,8,37203633
1,8,37214263
1,8,37221720
1,8,37206684
1,8,37218737
1,8,37199141
2,8,36709840
2,8,36725155
2,8,36709841
2,8,36729097
2,8,36714365
2,8,36717502
2,8,36732219
2,8,36722048
3,8,36792477
3,8,36804342
3,8,36807549
3,8,36796907
3,8,36815068
3,8,36811637
3,8,36792476
3,8,36800135
1,4,72461651
1,4,72461648
1,4,72469139
1,4,72475415
2,4,72563669
2,4,72555887
2,4,72555879
2,4,72569741
3,4,72372781
3,4,72381301
3,4,72372782
3,4,72387458
1,2,150485916
1,2,150485914
2,2,152273285
2,2,152273287
3,2,152702367
3,2,152702363
3,1,148987868
2,1,145834255
1,1,149011692
1,32,54262476
1,32,54262469
1,32,54300320
1,32,54313742
1,32,54318444
1,32,54302216
1,32,54269267
1,32,54320378
1,32,54296164
1,32,54267044
1,32,54312238
1,32,54284214
1,32,54324243
1,32,54276090
1,32,54308086
1,32,54291959
1,32,54285342
1,32,54293877
1,32,54310110
1,32,54282297
1,32,54304154
1,32,54278359
1,32,54287293
1,32,54271542
1,32,54289631
1,32,54280397
1,32,54322303
1,32,54316082
1,32,54305725
1,32,54273968
1,32,54299128
1,32,54265449
2,32,55097628
2,32,55062378
2,32,55080168
2,32,55093481
2,32,55119371
2,32,55106368
2,32,55083682
2,32,55071485
2,32,55101385
2,32,55060511
2,32,55116270
2,32,55104958
2,32,55095728
2,32,55082419
2,32,55067825
2,32,55112127
2,32,55118149
2,32,55108248
2,32,55077921
2,32,55103431
2,32,55065538
2,32,55088229
2,32,55113982
2,32,55073721
2,32,55091211
2,32,55099490
2,32,55060513
2,32,55085932
2,32,55110110
2,32,55070035
2,32,55076273
2,32,55065059
3,32,54494725
3,32,54505818
3,32,54473173
3,32,54460867
3,32,54500234
3,32,54461868
3,32,54464645
3,32,54496174
3,32,54503320
3,32,54458882
3,32,54474457
3,32,54506826
3,32,54469776
3,32,54468275
3,32,54501882
3,32,54498233
3,32,54493142
3,32,54509355
3,32,54492102
3,32,54490667
3,32,54471717
3,32,54459879
3,32,54499208
3,32,54489192
3,32,54466929
3,32,54504328
3,32,54510844
3,32,54497184
3,32,54458885
3,32,54463281
3,32,54507881
3,32,54476313
